source=F1_1.wav
duration=1.6
name	start	rms	zcr	score
coast_01.wav	6.25	0.08539	0.04597	0.10769
coast_02.wav	13.50	0.06758	0.03981	0.19078
coast_03.wav	32.25	0.04581	0.04075	0.22204
coast_04.wav	60.75	0.06439	0.03918	0.23628
coast_05.wav	48.00	0.06688	0.03678	0.31921
coast_06.wav	24.75	0.08243	0.04633	0.32647
coast_07.wav	30.25	0.06532	0.04158	0.34042
coast_08.wav	16.75	0.05476	0.03581	0.39363
low_01.wav	3.25	0.08618	0.04911	0.09490
low_02.wav	6.25	0.08539	0.04597	0.10769
low_03.wav	22.75	0.08677	0.04828	0.12944
low_04.wav	37.75	0.08585	0.05018	0.13019
low_05.wav	39.75	0.08503	0.04781	0.13994
low_06.wav	44.00	0.07633	0.04928	0.16843
low_07.wav	42.00	0.08373	0.04779	0.19054
low_08.wav	24.75	0.08243	0.04633	0.32647
mid_01.wav	11.25	0.08266	0.05049	0.07023
mid_02.wav	54.50	0.08503	0.05450	0.10071
mid_03.wav	20.75	0.08485	0.05057	0.10984
mid_04.wav	37.75	0.08585	0.05018	0.13019
mid_05.wav	1.25	0.08569	0.05167	0.14873
mid_06.wav	35.75	0.08356	0.05593	0.20306
mid_07.wav	46.00	0.08649	0.05126	0.23121
mid_08.wav	52.25	0.08025	0.05282	0.23243
high_01.wav	9.25	0.08301	0.05656	0.06495
high_02.wav	78.00	0.13515	0.06374	0.06745
high_03.wav	27.50	0.08539	0.05743	0.09563
high_04.wav	67.75	0.08238	0.05714	0.13147
high_05.wav	72.25	0.13846	0.06347	0.15761
high_06.wav	35.75	0.08356	0.05593	0.20306
high_07.wav	18.75	0.08051	0.05696	0.21446
high_08.wav	58.25	0.07861	0.05851	0.23238
max_01.wav	78.00	0.13515	0.06374	0.06745
max_02.wav	80.25	0.14234	0.07106	0.10651
max_03.wav	87.50	0.13704	0.06668	0.14450
max_04.wav	72.25	0.13846	0.06347	0.15761
max_05.wav	74.75	0.14031	0.06901	0.16113
max_06.wav	82.25	0.11844	0.06947	0.25215
max_07.wav	85.50	0.11483	0.06822	0.54876
